 ,Label,Area1,Mean1,IntDen1,RawIntDen1,Area2,Mean2,IntDen2,RawIntDen2,Area3,Mean3,IntDen3,RawIntDen3,Area4,Mean4,IntDen4,RawIntDen4
1,Masked Num,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
2,Masked Num,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
3,Masked Num,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
4,Masked Num,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
5,Masked Num,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
6,Masked Num,0.5,460.6,232.45,19806,0.41,465.4,191.17,16289,0.55,438.96,242.13,20631,0.42,484.11,204.54,17428
7,Masked Num,1.96,543.47,1065.16,90759,1.29,530.3,684.6,58333,0.93,495.85,459.73,39172,1.77,557.36,987.72,84161
8,Masked Num,2.08,636.08,1321.33,112587,2.05,584.42,1200.3,102274,1.02,510.91,521.66,44449,2.49,613.47,1526.35,130056
9,Masked Num,2.23,783.12,1746.24,148792,1.74,543.96,944.83,80506,1.49,582.4,868.06,73965,1.33,588.43,780.37,66493
10,Masked Num,2.85,727.37,2074.36,176750,1.19,575.13,681.73,58088,1.23,576.41,710.3,60523,0.73,560.85,408.1,34773
11,Masked Num,2.61,546.08,1422.76,121229,0.99,643.48,634.36,54052,1.03,573.49,592.29,50467,0.14,278.92,39.28,3347
12,Masked Num,1.01,479.35,483.81,41224,1.16,626.68,728.12,62041,2.42,645.83,1561.37,133040,0,NaN,NaN,NaN
13,Masked Num,0.18,297.2,52.32,4458,0.42,409.36,172.96,14737,1.57,426.72,671.07,57180,0,NaN,NaN,NaN